MAP NAME                  | DIFF       | STARS      | PTS    | CREATOR                   | DATE           
Aipless                   | Insane     | ★☆☆        | 30     | Themix                    | 2025-04-12     
Aled_to_the_Legend        | Mod        | ★★★★☆      | 22     | firewave                  | 2023-12-29     
Alone                     | Hard       | ★☆☆        | 14     | UnKnown                   | 2019-08-12     
Alternate                 | Hard       | ★☆☆        | 16     | Route66                   | 2021-06-01     
Amethyst                  | Hard       | ★★☆        | 24     | Spino                     | 2023-07-30     
Amol1                     | Main       | ★★★        | 8      | Amol                      | 2015-05-29     
Amol2                     | Main       | ★★☆        | 6      | Amol                      | 2015-05-12     
Anagrama                  | Hard       | ★☆☆        | 16     | FLipLipp                  | 2020-09-01     
Angeldust                 | Insane     | ★★☆        | 32     | Angeldust                 | 2020-08-07     
Angeldust2                | Insane     | ★★☆        | 40     | Angeldust                 | 2020-11-13     
Angeldust3                | Insane     | ★★★        | 42     | Angeldust                 | 2021-03-02     
Angry                     | Hard       | ★★☆        | 21     | sasha34827                | 2025-04-27     
Anonymous                 | Main       | ★★☆        | 10     | Zero, Omesurion           | 2021-06-22     
Anotherworld              | Hard       | ★★☆        | 21     | J4M3S & Zonsa             | 2025-08-02     
Aqua                      | Hard       | ★☆☆        | 14     | Mqx                       | 2021-12-12     
Arcturus                  | Hard       | ★☆☆        | 16     | Warto                     | 2024-03-16     
Arena                     | Main       | ★★☆        | 8      | Warto                     | 2023-08-23     
Arise                     | Solo       | ★★★☆☆      | 14     | FJP                       | 2024-07-20     
Arylz4ChillerDragon       | Hard       | ★☆☆        | 11     | Arylz                     | 2025-10-26     
Arylz4FJP                 | Main       | ★★★        | 11     | Arylz                     | 2023-12-30     
Arylz4KoG                 | Main       | ★★★        | 11     | Arylz                     | 2025-08-02     
Arylz4Sneaky              | Hard       | ★★★        | 25     | Arylz                     | 2025-07-05     
Arylz4ZeroKani            | Insane     | ★★★        | 38     | Arylz                     | 2025-10-19     
AscensionToHeaven         | Extreme    | ★★☆        | 91     | Mixi                      | 2022-05-31     
asnoZ                     | Hard       | ★★★        | 22     | Zonsa                     | 2022-12-26     
Aster                     | Extreme    | ★★☆        | 55     | ipoopi                    | 2023-07-25     
Astralyca                 | Insane     | ★☆☆        | 30     | Shiiir0, Xin              | 2021-10-29     
Asunder                   | Insane     | ★★★        | 42     | ipoopi                    | 2024-01-27     
Atheris4Kaeloo            | Insane     | ★☆☆        | 35     | Atheris                   | 2023-04-21     
Aura                      | Mod        | ★★★★☆      | 22     | Warto                     | 2023-05-30     
Autumn_Sunset             | Solo       | ★★☆☆☆      | 6      | Themix                    | 2023-03-28     
Awakening                 | Hard       | ★★☆        | 24     | RealTaco                  | 2024-12-26     
BabyDragger               | Mod        | ★★★★☆      | 30     | тυx                       | 2025-09-01     
Balada                    | Mod        | ★★★☆☆      | 14     | Warto                     | 2021-11-26     
bazawa                    | Insane     | ★★☆        | 32     | bzw                       | 2020-04-07     
BBB                       | Extreme    | ★★★        | 78     | Krumplee                  | 2025-10-12     
Beam                      | Insane     | ★★☆        | 36     | FlipLipp                  | 2019-07-17     
BecauseMaybe              | Main       | ★★☆        | 8      | Afterbjörn                | 2024-09-01     
BENEATH_A_DYING_SKY       | Extreme    | ★★☆        | 91     | SlyDzE                    | 2026-02-16     
Beyblade                  | Hard       | ★★☆        | 18     | Shyzo                     | 2017-07-29     
BG13                      | Solo       | ★★★★☆      | 27     | Themix                    | 2023-03-07     
BHRX-Competition          | Main       | ★★☆        | 15     | Bl0odDens, Hallas, RedFight, xRyperion_ | Released during a sunset
BitKoG                    | Hard       | ★★☆        | 18     | RealTaco                  | 2024-12-08     
BitLand                   | Hard       | ★★☆        | 18     | MoonCake                  | 2019-03-11     
Bl0od-Dens10              | Main       | ★★★        | 13     | Bl0odDens                 | Released during a sunset
Bl0od4Anni                | Main       | ★★☆        | 8      | Bl0odDens                 | Released during a sunset
Bl0od4Isi                 | Main       | ★★☆        | 8      | Bl0odDens                 | Released during a sunset
Bl0od4Maxe                | Main       | ★★★        | 13     | Bl0odDens                 | Released during a sunset
Bl0od4Miku                | Main       | ★★★        | 16     | Bl0od-Dens                | 2017-02-22     
Bl0od4Waschi              | Hard       | ★★★        | 25     | Bl0odDens                 | Released during a sunset
Bl0od4Zant                | Main       | ★★☆        | 8      | Bl0odDens                 | Released during a sunset
Bl0odDens5                | Main       | ★★★        | 13     | Bl0odDens                 | 2013-05-13     
Bl0odDens7                | Main       | ★★☆        | 8      | Bl0odDens                 | Released during a sunset
Bl0odFlip                 | Main       | ★★★        | 13     | Bl0odDens & FlipLipp      | Released during a sunset
BLACK_SMOKE               | Main       | ★☆☆        | 5      | Rei ayanami               | 2021-07-09     
Black_Widow               | Extreme    | ★☆☆        | 54     | Mixi                      | 2023-12-15     
BlackDoods                | Solo       | ★★☆☆☆      | 6      | Zonsa                     | 2023-08-30     
Blackwolf                 | Hard       | ★★☆        | 24     | Beautemps                 | 2021-01-03     
Blasphemy                 | Hard       | ★★★        | 25     | RaiNy                     | 2020-01-03     
blim4zale                 | Hard       | ★★★        | 25     | blim                      | 2020-11-10     
blim_Gores                | Hard       | ★★★        | 25     | blim                      | 2020-09-15     
BloodLine                 | Solo       | ★★★☆☆      | 14     | alya?                     | 2025-12-25     
bloodstone                | Main       | ★★☆        | 8      | GELO                      | 2021-01-12     
blue_space                | Hard       | ★★★        | 29     | purrpT                    | 2020-05-02     
BlueMoon                  | Insane     | ★☆☆        | 30     | FlipLipp                  | 2019-01-19     
BlueOne                   | Main       | ★★☆        | 8      | Kleas_                    | 2022-08-19     
Blueprint                 | Main       | ★★☆        | 8      | FJP                       | 2022-06-14     
BlueSky                   | Hard       | ★☆☆        | 14     | Zonsa                     | 2023-07-05     
Boardwalk                 | Main       | ★★☆        | 6      | FJP                       | 2022-03-11     
Bomb_World                | Hard       | ★★☆        | 21     | purrp T                   | 2020-06-19     
Bomb_World_2              | Hard       | ★★★        | 25     | purrp T                   | 2022-01-04     
Bomboclad2                | Insane     | ★★☆        | 36     | Jonas                     | 2025-12-01     
bPls                      | Hard       | ★☆☆        | 14     | Route66                   | 2021-07-13     
Brexamus                  | Hard       | ★★☆        | 21     | Nareem                    | 2021-10-24     
BRUME                     | Main       | ★★☆        | 8      | Rei ayanami               | 2022-04-01     
bubbles                   | Insane     | ★☆☆        | 35     | cagent, Kingston          | 2021-01-29     
Bubbly1                   | Hard       | ★☆☆        | 14     | Windy, Omesurion          | 2021-10-08     
BumM2                     | Main       | ★★☆        | 5      | BumM                      | Released during a sunset
Bushes                    | Easy       | ★★☆        | 2      | Canarda                   | 2025-07-22     
bzolow                    | Solo       | ★★★★★      | 44     | bzw                       | 2022-07-12     
bzonsw                    | Hard       | ★★★        | 29     | Zonsa                     | 2020-04-18     
bzw1                      | Hard       | ★★☆        | 24     | bzw                       | 2018-02-04     
bzw2                      | Insane     | ★☆☆        | 41     | bzw                       | 2018-06-29     
bzw3                      | Insane     | ★☆☆        | 35     | bzw                       | 2018-04-14     
bzw4                      | Insane     | ★☆☆        | 41     | bzw                       | 2019-01-08     
bzw4chile                 | Hard       | ★★★        | 25     | bzw                       | 2019-05-27     
bzw4miep                  | Hard       | ★☆☆        | 16     | bzw                       | 2018-03-27     
bzw4Treefly               | Insane     | ★☆☆        | 30     | bzw                       | 2018-10-07     
bzw4tux                   | Main       | ★★★        | 8      | bzw                       | 2019-12-22     
bzw5                      | Insane     | ★★☆        | 36     | bzw                       | 2019-03-27     
bzw7                      | Insane     | ★★★        | 54     | bzw                       | 2019-05-31     
bzw8                      | Insane     | ★☆☆        | 30     | bzw                       | 2022-07-10     
cake_reef                 | Hard       | ★☆☆        | 14     | CAKExSNIFFERx42           | 2024-08-17     
CAKE_SPACE                | Main       | ★★★        | 11     | CAKExSNIFFERx42           | 2024-10-27     
cake_strawberry           | Insane     | ★☆☆        | 30     | CAKExSNIFFERx42           | 2024-12-28     
cake_winter               | Main       | ★★★        | 11     | CAKExSNIFFERx42           | 2024-07-03     
calm                      | Insane     | ★★☆        | 47     | bzw                       | 2019-08-02     
Caminata                  | Mod        | ★★★☆☆      | 14     | Warto                     | 2021-09-10     
Canarda4IsaacElenbaas     | Main       | ★★★        | 11     | Canarda                   | 2025-08-17     
CandyLand                 | Main       | ★☆☆        | 4      | Krumplee                  | 2021-05-04     
CandyWorld                | Extreme    | ★☆☆        | 48     | feat                      | 2024-08-11     
capon                     | Extreme    | ★☆☆        | 44     | 夜                         | 2024-07-13     
CastleMania               | Hard       | ★★☆        | 24     | Krumplee                  | 2019-06-17     
Castlicca1                | Main       | ★★★        | 11     | konwic                    | 2020-06-16     
Catalan_Aim               | Hard       | ★★★        | 25     | Knuski                    | 2021-08-20     
Catalyst                  | Hard       | ★★☆        | 18     | Afterbjörn                | 2025-09-14     
CatLand                   | Extreme    | ★☆☆        | 81     | Mixi                      | 2024-06-14     
CatZone                   | Hard       | ★★★        | 29     | Mixi                      | 2024-02-05     
cave                      | Insane     | ★★☆        | 40     | bzw                       | 2018-11-21     
Caverna                   | Mod        | ★★☆☆☆      | 8      | Warto                     | 2022-03-15     
Celeste                   | Main       | ★☆☆        | 6      | Sarinha                   | 2024-09-15     
Ceniza                    | Mod        | ★★☆☆☆      | 8      | Warto                     | 2022-08-09     
Cereja                    | Easy       | ★★☆        | 3      | WhySara                   | 2023-02-08     
CGores                    | Main       | ★★☆        | 12     | Colgate                   | 2019-03-21     
CGores_2                  | Main       | ★★★        | 13     | Colgate                   | 2020-07-24     
ChainsawMan               | Hard       | ★★★        | 48     | ejjie & Mixi              | 2024-06-30     
ChainsawMan2              | Insane     | ★★★        | 73     | ejjie                     | 2025-07-13     
Challenger                | Extreme    | ★★☆        | 70     | ѕнαяу                     | 2025-07-22     
Charover                  | Main       | ★☆☆        | 6      | sasha34827                | 2025-04-04     
CheatMe                   | Main       | ★★☆        | 12     | Colgate                   | 2019-07-12     
Checkmate                 | Hard       | ★☆☆        | 29     | mind                      | 2024-08-04     
Cherry                    | Main       | ★★★        | 11     | FJP                       | 2021-12-07     
Childs3e                  | Main       | ★★★        | 13     | ChildOfGod                | Released during a sunset
CHILL                     | Easy       | ★★☆        | 2      | Rei ayanami               | 2022-06-19     
ChillerDragon4Jessica     | Main       | ★★☆        | 19     | ChillerDragon             | Released during a sunset
ChillerDragores           | Main       | ★★☆        | 12     | ChillerDragon             | Released during a sunset
ChillerDragores10         | Main       | ★★★        | 8      | ChillerDragon             | 2017-10-20     
ChillerDragores11         | Main       | ★★☆        | 8      | ChillerDragon             | Released during a sunset
ChillerDragores12         | Main       | ★★★        | 24     | ChillerDragon             | Released during a sunset
ChillerDragores16         | Main       | ★★☆        | 10     | ChillerDragon             | 2016-12-22     
ChillerDragores18         | Hard       | ★★☆        | 42     | ChillerDragon             | Released during a sunset
ChillerDragores20         | Main       | ★★☆        | 19     | ChillerDragon             | Released during a sunset
ChillerDragores23         | Main       | ★★☆        | 8      | ChillerDragon             | 2017-02-27     
ChillerDragores24         | Hard       | ★☆☆        | 16     | ChillerDragon             | Released during a sunset
ChillerDragores25         | Easy       | ★★★        | 5      | ChillerDragon             | 2016-11-06     
ChillerDragores26         | Hard       | ★☆☆        | 14     | ChillerDragon             | 2017-02-18     
ChillerDragores4          | Main       | ★★☆        | 8      | ChillerDragon             | Released during a sunset
ChillerDragores7          | Main       | ★★☆        | 12     | ChillerDragon             | Released during a sunset
Choinka                   | Hard       | ★★★        | 29     | Beautemps & Krumplee      | 2021-12-22     
Circuit                   | Easy       | ★★★        | 4      | FJP                       | 2023-01-18     
Citadel                   | Hard       | ★★☆        | 21     | Money Boy                 | 2021-10-05     
CkiS1                     | Insane     | ★★☆        | 36     | Ckis                      | 2017-07-26     
CkiS2                     | Insane     | ★★☆        | 36     | CkiS                      | 2017-06-10     
CkiS4Juicy                | Hard       | ★★☆        | 18     | CkiS & Roco               | Released during a sunset
CkiS_4_CLow               | Hard       | ★★★        | 25     | CkiS                      | 2018-06-16     
CkiS_4_effect             | Hard       | ★★★        | 25     | CkiS                      | Released during a sunset
CkiS_4_Jimmy              | Hard       | ★★★        | 25     | Ckis                      | 2020-09-11     
CkiS_4_Livos              | Hard       | ★★★        | 22     | CkiS                      | Released during a sunset
CkiS_4_MonkeyDream        | Insane     | ★★☆        | 36     | Ckis                      | 2017-09-21     
CkiS_4_Samu               | Hard       | ★★★        | 25     | CkiS                      | Released during a sunset
Ckis_4_unskilledplayer    | Main       | ★★★        | 11     | Ckis                      | 2019-07-25     
CkiSbzw1                  | Insane     | ★★★        | 42     | CkiSbzw                   | 2019-06-18     
CkisFlip                  | Insane     | ★☆☆        | 30     | FlipLipp_Ckis             | 2018-10-11     
CkisFlip2                 | Insane     | ★★★        | 42     | FlipLipp_Ckis             | 2020-01-17     
CkiSNox1                  | Insane     | ★★☆        | 36     | CkiS                      | 2017-04-23     
CkisTerston1              | Insane     | ★☆☆        | 35     | CkisTerston               | 2017-08-11     
CkiSzale                  | Hard       | ★★★        | 25     | CkiS, zale                | 2020-10-27     
Clean                     | Hard       | ★★☆        | 18     | UnKnown                   | 2021-02-19     
ClosedTime                | Hard       | ★★★        | 22     | Themed                    | 2022-12-01     
ColdNight                 | Hard       | ★★★        | 25     | FlipLipp_Protokol         | 2019-04-12     
ColdNight_twisted         | Others     | ★★★        | 0      | mind                      | 2024-12-17     
ColorCube1                | Hard       | ★★☆        | 21     | Krixe                     | 2023-03-01     
ColorCube2                | Hard       | ★★☆        | 21     | Krixe                     | 2024-12-25     
Conchetumare_X            | Insane     | ★★★        | 42     | Phobos                    | 2021-11-07     
Conchetumare_Z            | Insane     | ★★★        | 63     | Tae                       | 2023-03-25     
Connerics                 | Insane     | ★☆☆        | 35     | FlipLipp                  | 2018-11-30     
Cooldown_by_Shyzo         | Hard       | ★☆☆        | 16     | Shyzo                     | 2018-06-29     
Cooper1                   | Main       | ★★☆        | 12     | Cooper                    | Released during a sunset
Corazon4caroLin           | Insane     | ★★★        | 47     | Corazon                   | 2022-02-08     
Corazon4Drakenmake        | Hard       | ★★★        | 25     | Corazon                   | 2019-06-15     
Corazon4himself           | Hard       | ★★★        | 22     | Corazon                   | 2019-07-23     
Corazon4maxrider2         | Hard       | ★★★        | 25     | Corazon                   | 2019-01-17     
Corazon4Ym2               | Hard       | ★★★        | 25     | Corazon                   | 2019-01-28     
corgores2                 | Hard       | ★★☆        | 18     | ImCorneum                 | 2019-11-18     
Corrupted                 | Insane     | ★★★        | 47     | JSON                      | 2020-09-08     
Corrupted_Easy            | Main       | ★☆☆        | 6      | JSON                      | 2020-08-11     
Corrupted_Extreme         | Extreme    | ★★★        | 87     | JSON                      | 2023-09-30     
CrackedMoon               | Hard       | ★★★        | 25     | FlipLipp                  | 2019-04-02     
CrispEZ                   | Easy       | ★★☆        | 3      | Crispy                    | 2023-03-30     
Crispy4Yoin               | Main       | ★★★        | 11     | Crispy                    | 2022-03-04     
Crucified                 | Extreme    | ★★☆        | 91     | Mixi                      | 2025-03-30     
CTF_Gores                 | Hard       | ★★☆        | 24     | mind                      | 2020-05-19     
cursed                    | Insane     | ★★★        | 63     | Krumplee, bzw             | 2021-01-06     
Cyanica                   | Insane     | ★☆☆        | 41     | nova                      | 2024-05-25     
cyber                     | Hard       | ★★★        | 41     | FlippLip, Beautemps       | 2023-11-27     
D4rn4SForMeow             | Hard       | ★★☆        | 18     | D4rn4S                    | 2024-05-26     
dabushes                  | Main       | ★★☆        | 8      | Exless                    | 2021-06-29     
DANCING_FREEZE            | Mod        | ★★★☆☆      | 14     | Rei ayanami               | 2022-08-07     
dandadan                  | Hard       | ★★☆        | 24     | ejjie                     | 2025-01-20     
Dandelinux                | Easy       | ★☆☆        | 1      | tux                       | 2021-06-11     
Danil4Syltoox             | Hard       | ★★☆        | 18     | Danil                     | 2018-12-15     
dark                      | Insane     | ★★☆        | 36     | cagent                    | 2021-05-11     
DarkFluff                 | Hard       | ★★☆        | 18     | nr6man                    | 2025-09-23     
darkforest                | Insane     | ★★☆        | 32     | Mqx                       | 2023-05-10     
DarkGen                   | Hard       | ★★☆        | 18     | FlipLipp                  | 2020-01-29     
DarkKitty                 | Main       | ★★★        | 13     | Nyanto                    | 2017-07-27     
Dawn                      | Insane     | ★☆☆        | 30     | Zonsa                     | 2021-08-31     
ddrace                    | Extreme    | ★☆☆        | 54     | Themix                    | 2025-06-18     
DeadHook                  | Insane     | ★★☆        | 32     | Zonsa                     | 2025-06-09     
DeadlyPath                | Insane     | ★★★        | 38     | Shyzo                     | 2018-10-07     
Dearevil                  | Hard       | ★★★        | 29     | Themix                    | 2025-06-02     
Deceived                  | Insane     | ★☆☆        | 30     | cc                        | 2020-03-01     
Decimation                | Solo       | ★★★★☆      | 27     | elnoid                    | 2024-03-08     
DeepMadness               | Main       | ★★★        | 8      | Ryozuki                   | Released during a sunset
DeepSea                   | Insane     | ★★★        | 42     | Zale, BoWser              | 2022-11-15     
Deluxe                    | Hard       | ★★★        | 22     | bzw                       | 2019-04-19     
Demonic                   | Insane     | ★☆☆        | 35     | elnoid & Tae              | 2024-01-16     
Descarkent                | Extreme    | ★★☆        | 70     | Themix                    | 2025-04-27     
DesertQuest               | Main       | ★★★        | 20     | TeeShirt_purrpT           | 2020-02-20     
Destin2                   | Main       | ★★☆        | 8      | destin & Kero             | Released during a sunset
dindila                   | Insane     | ★★☆        | 36     | bzw                       | 2021-01-04     
dionle                    | Main       | ★★★        | 13     | elnoid                    | 2024-12-03     
Discipline                | Solo       | ★★★☆☆      | 14     | ѕнαяу                     | 2024-05-11     
DM_Gores                  | Main       | ★★☆        | 8      | mind                      | 2022-11-29     
DoorWays                  | Solo       | ★★★☆☆      | 14     | Шизик                     | 2023-01-10     
Doppel                    | Hard       | ★★☆        | 18     | Beautemps, Doppelganger   | 2021-04-02     
Doumed                    | Hard       | ★★★        | 25     | badoumed                  | 2022-02-25     
dragonexe                 | Insane     | ★★☆        | 36     | Zero                      | 2021-04-16     
DragonLore                | Insane     | ★★★        | 42     | Omezurion                 | 2023-01-08     
Drakengores_1             | Main       | ★★★        | 8      | Drakenmake                | 2017-12-30     
Dream                     | Hard       | ★★★        | 25     | Zonsa                     | 2020-08-18     
Dreamland                 | Hard       | ★☆☆        | 16     | Deploid, se               | 2021-02-02     
DummyPhantom              | Mod        | ★★★☆☆      | 14     | tux                       | 2020-11-27     
DuskyDrop                 | Mod        | ★★★★☆      | 22     | TeChNoBaSe                | 2017-06-10     
Dusty_Trip                | Main       | ★★★        | 8      | Canarda                   | 2025-05-03     
Dynasty                   | Insane     | ★★☆        | 36     | Vida                      | 2024-11-17     
DyrteeZ                   | Easy       | ★★★        | 3      | Zonsa                     | 2023-08-13     
E4RG                      | Insane     | ★★★        | 47     | escenitty                 | 2022-05-03     
EARFQUAKE                 | Extreme    | ★☆☆        | 71     | ejjie & DragonFrey        | 2025-02-08     
Eating_Hooks              | Insane     | ★★★        | 54     | Fliplipp, Hesse           | 2021-08-02     
Eden                      | Main       | ★★☆        | 10     | Noe                       | 2017-07-21     
elnoid4FJP                | Hard       | ★★☆        | 18     | elnoid                    | 2024-06-10     
Elythrix                  | Main       | ★★☆        | 6      | xewoiy                    | 2025-09-07     
Encore                    | Main       | ★★☆        | 8      | encore[love]              | Released during a sunset
Encore2                   | Main       | ★★☆        | 8      | encore[love]              | Released during a sunset
Encore3e                  | Main       | ★★★        | 11     | encore[love]              | Released during a sunset
Encore4e                  | Main       | ★★☆        | 8      | encore[love]              | Released during a sunset
End_of_Sunny_Days         | Hard       | ★★☆        | 21     | ρнιʐyxxx                  | 2025-12-30     
Entitres                  | Hard       | ★☆☆        | 14     | Themix                    | 2017-01-05     
Ephemeral                 | Insane     | ★☆☆        | 27     | purrp T                   | 2020-12-25     
Error404                  | Insane     | ★★★        | 42     | ѕнαяу                     | 2024-03-31     
Erys                      | Insane     | ★☆☆        | 27     | Destin                    | 2019-07-14     
Esaisy                    | Hard       | ★★☆        | 14     | sasha34827                | 2025-12-28     
Escape                    | Mod        | ★★★☆☆      | 14     | Hawerer                   | Released during a sunset
Escape2                   | Main       | ★★★        | 16     | Hawerer                   | Released during a sunset
Escenitty4Mano            | Insane     | ★☆☆        | 30     | Escenitty                 | 2022-11-28     
Esox                      | Hard       | ★★☆        | 18     | mind                      | 2025-09-07     
Estern1e                  | Main       | ★★☆        | 8      | Estern                    | Released during a sunset
Etuor                     | Hard       | ★★☆        | 21     | Route66                   | 2021-12-03     
Evaporate                 | Insane     | ★☆☆        | 30     | ZXC¿Girl?                 | 2025-04-13     
Evening                   | Main       | ★★☆        | 8      | Mqx                       | 2022-01-28     
EvilSunset                | Insane     | ★★☆        | 36     | Shiiir0                   | 2021-06-27     
Exorcism                  | Insane     | ★☆☆        | 30     | Krumplee                  | 2020-02-12     
ExTr3                     | Hard       | ★★☆        | 21     | Tr3agle, ExMonarch        | 2023-06-16     
F1                        | Insane     | ★☆☆        | 23     | ρнιʐyxxx                  | 2025-12-26     
FalltimeSunset            | Hard       | ★★★        | 22     | purrpT                    | 2020-03-22     
Fearless                  | Main       | ★★☆        | 8      | Afterbjörn                | 2024-11-10     
feat4flip                 | Hard       | ★★★        | 25     | feat                      | 2019-12-12     
feat4juicy                | Hard       | ★★★        | 34     | feat                      | 2020-01-04     
feat4neo                  | Hard       | ★★★        | 29     | feat                      | 2020-07-17     
featality                 | Main       | ★★★        | 16     | feat                      | 2018-10-20     
featuristic               | Insane     | ★★☆        | 36     | feat                      | 2018-08-30     
Feet4Tyrone               | Main       | ★★★        | 11     | Ssor                      | 2023-05-25     
fik4bzw                   | Hard       | ★☆☆        | 16     | fikmesan                  | 2018-10-29     
fik4Enyltyn               | Main       | ★★★        | 11     | fikmesan                  | 2019-04-26     
fik4imp                   | Main       | ★★☆        | 8      | fikmesan                  | 2019-04-10     
fik4Isi                   | Easy       | ★★☆        | 2      | fikmesan                  | 2018-06-29     
fik4Kicker                | Main       | ★★☆        | 8      | fikmesan                  | 2018-06-09     
fik4LemonTee              | Hard       | ★☆☆        | 14     | fikmesan                  | 2020-11-03     
fik4snail                 | Main       | ★★☆        | 8      | fikmesan                  | Released during a sunset
fik4SubLime               | Main       | ★☆☆        | 4      | fikmesan                  | 2021-03-22     
fikbzw                    | Main       | ★★★        | 11     | fikmesan_bzw              | 2019-05-16     
fikmesan                  | Main       | ★★☆        | 8      | fikmesan                  | Released during a sunset
fikvie                    | Main       | ★☆☆        | 12     | Ravie and fikmesan        | 2018-10-28     
FJP030                    | Main       | ★★☆        | 10     | FJP, sd030                | 2022-06-24     
FJPxJonas                 | Insane     | ★★☆        | 40     | FJP & Jonas               | 2026-01-12     
Flamingu                  | Main       | ★★★        | 16     | ChillerDragon_aka_flamingu | 2017-02-02     
Flip420                   | Hard       | ★★★        | 25     | FlipLipp                  | 2019-03-05     
Flip4Benny                | Insane     | ★★☆        | 36     | FlipLipp                  | 2019-01-15     
Flip4Bonny                | Hard       | ★★☆        | 24     | FlipLipp                  | 2019-04-30     
Flip4Busted               | Insane     | ★☆☆        | 30     | FlipLipp                  | 2021-01-09     
Flip4Crack                | Insane     | ★★★        | 47     | FlipLipp                  | 2020-10-31     
Flip4feat                 | Hard       | ★★☆        | 21     | FlipLipp                  | 2019-05-18     
Flip4Hakurei              | Hard       | ★★★        | 22     | FlipLipp                  | 2019-05-10     
Flip4Krumplee             | Hard       | ★★☆        | 21     | FlipLipp                  | 2020-06-09     
Flip4Samo                 | Hard       | ★★★        | 25     | FlipLipp                  | 2019-05-10     
Flip4Skiusep              | Hard       | ★★☆        | 21     | FlipLipp                  | 2020-03-26     
Flip4U                    | Hard       | ★★★        | 25     | FlipLipp                  | 2019-10-09     
FlipBzw                   | Insane     | ★☆☆        | 30     | FlipLipp                  | 2018-08-11     
FlipBzw2                  | Insane     | ★☆☆        | 30     | FlipLipp_bzw              | 2019-02-20     
FlipChillerDestin         | Main       | ★★★        | 13     | FlipLipp, ChillerDragon & Destin | Released during a sunset
FlipDragonYo              | Main       | ★★★        | 16     | FlipLipp, Yo & ChillerDragon | Released during a sunset
FlipFeat                  | Main       | ★★★        | 13     | FlipLipp                  | 2018-10-07     
Flipfeat2                 | Insane     | ★★☆        | 40     | FlipLipp, Feat            | 2022-11-21     
FlipFeat3                 | Insane     | ★★★        | 47     | FlipLipp & feat           | 2026-01-31     
FlipGores                 | Main       | ★☆☆        | 6      | FlipLipp                  | 2019-03-16     
